CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32
60,2.8,4.3,1.8,0.5,1.9,1.5,2.7,1.5,1.1,1.9,1.1,0.7,2.5,3,0.3,0.9,1.7,4.2,1.4,1.8,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
61,2.8,4.2,1.8,0.5,1.8,1.4,2.7,1.6,1.1,1.8,1,0.7,2.4,3,0.3,0.8,1.7,4.3,1.4,1.7,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
62,2.8,4.2,1.8,0.6,1.6,1.4,2.7,1.4,1.2,1.9,1,0.7,2.4,3.1,0.3,0.8,1.8,4.3,1.4,1.4,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
63,2.8,4.2,1.7,0.6,1.7,1.3,2.7,1.4,1.2,1.8,0.9,0.9,2.4,3.1,0.3,0.8,1.8,4.5,1.5,1.4,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
64,2.8,4.2,1.8,0.6,1.5,1.4,2.7,1.4,1.1,1.8,1,0.7,2.4,3.1,0.3,0.9,1.8,4.6,1.4,1.3,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
65,2.8,4.2,1.7,0.6,1.5,1.3,2.8,1.4,1.1,1.9,0.9,0.7,2.4,3.1,0.3,0.9,1.8,4.5,1.4,1.1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
66,2.8,4.3,1.8,0.6,1.6,1.2,2.8,1.5,1.1,2,0.9,0.8,2.5,3.1,0.3,0.9,1.8,4.4,1.4,1.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
67,2.8,4.3,1.9,0.5,1.5,1.2,2.7,1.4,1,1.8,0.9,0.7,2.5,3.1,0.3,0.8,1.9,4.6,1.4,1.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
68,2.8,4.2,1.8,0.6,1.5,1.1,2.7,1.4,1.1,1.7,0.9,0.8,2.5,3.1,0.3,0.9,2,4.7,1.6,1.1,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
69,2.9,4.3,1.8,0.6,1.5,1.1,2.8,1.4,1,1.6,0.9,0.7,2.5,3.2,0.3,0.8,2,4.7,1.5,1.2,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,105,105
