CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32
74,2.8,4.2,1.8,0.6,1.8,0.7,2.8,1.2,1.3,1.5,0.8,0.7,2.7,3.1,0.4,0.7,2.1,5,1.4,1.3,105,105,105,105,105,105,105,105,105,105,105,105,105,105,210,105,210,105,105,105
75,3,4.7,2,0.6,2,0.8,2.8,1.1,1.3,1.5,0.7,0.5,2.5,3,0.4,0.8,2.3,4.7,1.4,1.3,108,108,108,108,108,108,108,108,108,108,108,108,108,108,217,108,214,107,108,108
76,3.2,5.1,2.3,0.7,2,0.8,2.7,1.6,1.3,1.4,0.6,0.7,2.6,3,0.7,0.8,1.8,2.8,1.7,1.5,112,111,111,111,111,113,112,226,112,112,112,112,112,112,225,112,222,112,112,112
77,2.3,3,1.6,0.5,1.2,0.9,2.7,1.7,1.2,1.7,0.6,0.7,2.4,3,0.8,0.8,1.4,2,1.9,1.3,116,116,116,116,116,116,469,230,116,230,116,116,116,116,230,116,469,469,116,116
78,2.2,3.7,2,0.5,1.6,1,2.9,1.4,1.1,1.5,0.7,0.5,2.1,2.6,0.7,0.6,1,2,1.9,1.3,120,120,120,120,242,120,475,120,120,120,120,120,120,120,238,120,475,475,120,400
79,2.5,4.3,2.7,0.6,2,1.5,3.2,1.3,1.8,1.4,0.8,0.7,2.5,3.2,0.8,0.8,0.9,1.9,3.1,1.8,124,124,124,124,124,124,124,124,124,124,246,124,124,124,124,124,250,250,124,124
80,2.4,5.7,4.4,0.5,3,1.7,3.4,1.4,3.1,1.8,1.5,0.8,2.9,3.5,1.5,1.4,0.8,1.4,5.4,3.4,128,128,128,128,129,128,128,128,128,128,129,128,128,128,128,129,254,258,128,128
81,2.6,6.8,6.2,0.6,4.1,2,3.9,1.1,3.6,1.7,2.3,0.8,2.7,3.5,1.8,1.8,0.9,1.5,5.8,3.7,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,132,266,132,132
82,2.3,6.1,6.1,0.5,4,2,3.8,1,3.8,1.5,2.3,0.7,2.1,2.7,1.8,1.8,0.8,1.5,5.8,3.9,133,133,133,133,133,133,133,267,133,133,133,133,133,133,133,133,133,267,133,133
83,2.3,6.1,5.9,0.5,4,2,3.8,0.9,3.8,1.5,2.3,0.7,2.1,2.7,1.8,1.8,0.9,1.5,5.7,3.9,133,133,133,133,133,133,133,267,133,133,133,133,133,133,133,133,133,267,133,133
