CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH23,CH24,CH25,CH26
53,3.1,5,2.5,0.6,1.3,1.9,3.5,2,1.6,2.4,1.3,0.9,2.2,3.4,0.5,0.8,2.6,3.1,1.7,2.6,105,105,105,105,105,105,210,105,105,105,105,105,105,105,210,105,210,210,105,105
54,3.1,5,2.7,0.6,1.3,2,3.4,2,1.6,2.4,1.5,1,2.4,3.2,0.4,0.8,2.7,2.8,1.7,3.1,105,105,105,105,210,105,210,105,105,105,105,105,105,105,210,105,210,210,105,105
55,3,4.8,2.7,0.6,1.4,2.2,3.5,43.5,1.9,2.7,1.6,1,2.4,3.2,0.4,0.9,2.8,3,1.8,3.3,105,105,105,105,210,105,105,4,105,105,105,105,105,105,421,105,210,210,105,105
56,3,4.8,2.7,0.6,1.5,2.4,3.3,14.7,1.7,2.6,1.8,1.2,2.6,3.2,0.4,0.9,2.9,3.5,1.7,3.8,105,105,105,105,210,105,210,4,105,105,105,105,105,105,420,105,210,210,105,105
57,3.1,4.8,2.8,0.6,1.5,2.7,3.4,2.2,1.8,2.7,1.9,1.1,2.6,3.1,0.5,1,3.3,3.7,1.7,4,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
58,3,4.7,2.8,0.6,1.7,2.8,3.2,2.2,1.7,2.9,1.9,1.4,2.7,3.1,0.4,1,3.2,3.6,1.7,4.3,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
59,3.1,4.8,2.7,0.6,1.6,3,3.1,2.3,1.8,3.6,2,1.2,2.8,3,0.5,0.9,3.3,3.8,1.8,4.6,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
60,3.1,4.8,2.8,0.6,1.7,3.3,3.1,2.2,1.8,3.4,2.2,1.4,2.9,3.2,0.4,1.1,3.4,4.2,1.7,4.8,105,105,105,105,105,105,210,105,105,105,105,105,105,105,421,105,210,210,105,105
61,3,4.8,2.7,0.6,1.7,3.2,3.3,2.1,2,3.3,2.1,1.4,2.9,3,0.4,1.1,3.3,4.1,1.8,4.6,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
62,3,4.7,2.7,0.6,1.8,3.1,3.1,2.1,1.9,2.8,2.1,1.2,2.9,3,0.4,1.1,3.3,3.9,1.6,4.6,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
63,3.1,4.8,2.7,0.5,1.8,3.2,3.2,2.1,1.9,3.4,2.1,1.1,3,3,0.4,1,3.5,4.1,1.6,4.5,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
64,3.1,4.7,2.8,0.6,1.7,3,3,2,1.7,3.4,2,1.2,2.8,2.9,0.4,1,3.3,3.1,1.6,4.2,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
65,3,4.7,2.7,0.6,1.8,3,3.2,2.2,2.1,3.1,2,1.1,2.7,2.9,0.4,0.9,3.4,3.7,1.7,4.3,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
66,3,4.7,2.8,0.6,1.7,2.9,3,2.1,1.8,3,1.9,1.1,2.7,2.9,0.5,0.9,3.2,3.5,1.6,4.1,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
67,3.1,4.8,2.7,0.6,1.7,2.9,3.1,2.1,2,3.3,1.9,1.1,2.8,3,0.4,0.8,3.3,3.6,1.6,4.2,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
68,3.1,4.8,2.7,0.6,1.7,3,3.2,2,2.3,3.2,2,1.2,2.6,2.9,0.4,0.9,3.3,3.5,1.7,4.4,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
69,3.1,4.7,2.6,0.6,1.7,2.9,3.3,2,1.8,3,1.9,1.1,2.6,3,0.4,1,3.2,3.5,1.8,4.1,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
70,3.1,4.7,2.7,0.6,1.7,2.9,3.2,2,1.9,3,1.9,1.2,2.7,3,0.4,0.8,3.1,3.5,1.7,4.2,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
71,3.1,4.7,2.6,0.6,1.6,2.8,3.1,1.9,1.9,2.5,1.9,1.1,2.6,3,0.4,0.9,3,3.3,1.8,4,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
72,3,4.7,2.6,0.6,1.5,2.6,2.9,2,1.9,3.1,1.8,1.2,2.7,2.9,0.4,0.8,2.9,2.4,1.8,3.8,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
73,3,4.7,2.7,0.6,1.5,2.6,2.9,2,1.9,3.2,1.8,1.1,2.6,2.9,0.4,1,2.8,2.4,1.7,3.8,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
74,3,4.8,2.7,0.6,1.7,2.6,3,1.9,1.7,3.1,1.8,1,2.6,2.9,0.5,0.9,2.9,2.4,1.7,3.6,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
75,3.1,4.7,2.8,0.6,1.6,2.7,3,1.9,1.9,3.2,1.8,1.1,2.7,2.9,0.4,0.9,3.1,2.5,1.7,3.8,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
76,3.1,4.7,2.7,0.6,1.6,2.6,3,1.9,1.9,2.8,1.8,1.1,2.5,3.1,0.4,0.9,3,2.4,1.8,3.8,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
77,3.1,4.8,2.6,0.6,1.6,2.8,3.2,2,1.8,2.7,1.8,1.1,2.6,3,0.4,0.8,3.1,3.1,1.8,3.8,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
78,3.1,4.8,2.7,0.6,1.6,2.7,3.1,2,1.7,2.9,1.8,1.1,2.5,3,0.4,0.8,3.1,2.4,1.7,3.7,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
79,3.2,4.8,2.7,0.6,1.6,2.7,3.1,1.9,1.7,2.8,1.8,1.1,2.5,3,0.4,0.8,3,2.9,1.7,3.8,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
80,3.2,4.9,2.7,0.6,1.6,2.6,3.2,1.8,1.7,3.1,1.7,1,2.5,3.1,0.5,1,3.1,2.8,1.8,3.8,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
81,3.1,4.8,2.6,0.6,1.6,2.6,3.2,1.9,1.9,2.9,1.7,1.1,2.6,3.1,0.5,0.8,3,2.8,1.7,3.7,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
82,3.1,4.7,2.6,0.6,1.5,2.5,3.1,1.9,2,2.8,1.7,1,2.5,2.9,0.5,0.8,2.9,2.6,1.8,3.7,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
83,3.1,4.8,2.7,0.6,1.4,2.6,3,1.9,1.6,2.6,1.7,1,2.6,2.9,0.5,0.8,3.3,2.3,1.7,3.5,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
84,3.5,5.6,3.4,0.7,1.5,2.3,2.9,1.9,1.7,2.4,1.6,1.2,2.3,3,0.5,0.9,2.4,3,1.8,3.4,108,108,108,108,108,108,108,108,108,108,108,108,108,108,219,109,215,215,108,108
85,3.3,5.3,3.4,0.7,1.1,2,2.9,2,1.7,2.4,1.3,1.1,2.4,3.4,0.7,1,1.4,2.9,2.2,2.9,112,112,112,112,112,113,112,112,112,112,112,112,112,112,227,112,223,223,113,112
86,2.1,3.4,2.5,0.4,0.8,2.2,2.6,2,1.8,2.8,1.2,1,2.3,3.6,0.9,0.9,1.5,2.6,3,2.7,116,116,116,116,235,117,116,117,117,117,116,117,116,117,231,117,235,235,117,116
87,1.6,2.9,2.3,0.5,1.2,1.8,3.4,2,2.3,2.9,0.9,1,2.3,3.8,1.1,1.1,2,2.4,3.9,1.6,120,120,120,120,243,121,243,121,121,121,120,121,121,121,121,121,243,239,121,120
88,1,2.2,1.7,0.3,0.8,1.8,4,2.2,3.3,3.2,0.8,1.2,2.7,4.6,1.5,1.8,2.4,2.2,6.1,1.9,125,125,125,377,247,125,251,125,125,125,125,125,125,125,125,125,247,251,125,125
89,1.9,2.1,1.7,0.3,1.1,2.5,4.4,2.1,4.5,3.2,1.8,1.3,3.1,5,2.1,2.6,1.8,3.1,8.1,4.5,129,129,129,383,129,129,129,128,129,129,129,129,129,129,129,129,255,75,129,129
