CH Name,DIS AD 우(하단),DIS AD 우(중),DIS 1R,DIS 1R,SUC AD 우(중),SUC AD 우(상),SUC AD 후(상),SUC AD 좌(중),SUC AD 전(하단),DIS AD 전(하단),SUC 1R,VI 8R,SUC 2R,SUC 3R,압력센서 직관 용접(하),압력센서 직관 용접(상),VI 직관 용접,VI 7R,DIS AD 우(하단),DIS AD 우(중),DIS 1R,DIS 1R,SUC AD 우(중),SUC AD 우(상),SUC AD 후(상),SUC AD 좌(중),SUC AD 전(하단),DIS AD 전(하단),SUC 1R,VI 8R,SUC 2R,SUC 3R,압력센서 직관 용접(하),압력센서 직관 용접(상),VI 직관 용접,VI 7R
CH No.,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH23,CH24,CH25,CH26
63,1.1,0.7,2.1,6.6,5.5,4.2,4.1,3.7,4.9,0.6,7.5,4.5,5.4,7.1,0.6,1.4,3.7,5.1,32,32,32,31,32,31,31,31,32,31,31,32,31,31,31,31,32,31
64,1.2,1.4,2.5,7.1,5.4,4.2,5.8,3.1,4.5,0.8,6.8,5.9,6.4,6.4,0.6,1.5,4.1,3.1,33,32,33,32,33,32,32,32,33,32,32,33,32,32,130,33,33,33
65,1.6,1.4,3,6.5,5.5,3.9,6.1,2.6,4.9,0.9,6.1,5.5,6.2,5.5,0.4,1.6,5.2,2.1,33,33,34,33,34,33,33,33,34,33,33,33,33,34,34,34,34,34
66,1.8,1.4,3.3,5.7,5.9,2.7,5.9,1.6,5.5,0.9,4,4.3,5.5,4.2,0.6,1.6,6.2,2.9,35,35,35,35,35,35,35,35,35,35,35,35,35,35,69,35,35,35
67,1.6,1.3,3.1,5,5.9,1.7,4.9,1.7,5.8,0.8,3.7,3.6,4.8,3.9,0.7,1.5,6.9,4.2,36,36,36,36,36,36,36,36,36,36,36,36,36,36,143,36,36,36
68,1.5,1.1,2.9,4.4,6.3,1.8,3.9,2.4,6.5,0.9,4.5,3.3,4.4,4.5,0.8,2.1,7,4.5,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
69,1.5,1,2.8,4.4,6.8,2.6,2.6,2.9,7.1,1,5.9,3.1,3.9,5.4,0.8,2.1,7.7,4.1,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38
70,1.6,0.9,3.4,3.8,7.4,3.6,2.4,3.6,7.6,1.1,7,3.9,3.5,6.5,1,2.1,8,3,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,77
71,1.6,0.9,3.7,3.3,7.2,4.3,2.8,4.1,8,1.1,8,4.4,3.4,7.2,1.2,2.1,7.2,2.5,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,79
72,1.7,0.8,3.7,2.7,6.9,4.7,3.3,4.1,7.6,1.1,8.2,5.3,2.7,7.3,1.3,2.2,7.5,3.4,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41
73,1.7,0.8,3.6,2.3,6.4,4.4,3.4,4.1,6.7,1,7.9,5.8,2.2,7.2,1.5,2.4,7.3,4.7,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
74,1.5,1,3.1,2.1,5.4,3.9,3.4,3.4,5.6,0.9,6.9,6,2.8,6.6,1.9,2.5,6.9,5.5,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
75,1.3,1.1,2.7,2.2,4.5,3.7,3.3,3.2,4.9,0.8,6.1,5.9,6.6,6.5,2.6,3.4,6.4,5.6,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,88,44
76,1.3,1.3,2.3,2.5,3.6,3.8,4.2,3,4,0.7,5.9,6,10,6.7,2.7,3.9,5.1,3.5,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,90,90
77,1.5,1.4,2.4,2.2,3,3.5,4.1,2.4,3.7,0.9,5.3,4.6,9.8,5.6,2,3.3,5.6,5.9,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,92,92
78,1.5,1.4,2.5,2,3.1,2.9,3.6,2.2,3.8,0.9,4.8,4.3,7.9,4.4,1.6,1.9,6,7.9,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,94,47
79,1.5,1.4,2.6,1.9,3.4,2.5,3,1.9,4.1,0.9,4.6,4.4,6.9,3.8,1.5,1.3,5.6,7.7,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,96,48
80,1.7,1.5,2.8,2,3.5,2.5,2.8,1.9,4.2,1,4.5,4.3,7,3.5,1.4,1.3,4.6,5.8,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,98,98
81,1.2,0.9,2,1.5,2.1,1.5,1.8,1.1,2.4,0.7,2.6,2.8,4.3,2,0.9,1.3,2.7,4.8,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,200,100,100
82,1.5,1,2.4,1.5,2,1.5,1.8,1.1,2.4,0.8,2.5,2.4,4.1,2.2,0.9,1.4,3.4,4.5,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,204,102,51
