CH Name,D_정면,D_측면,D_1R,D_2R,D_3R,S_정면,S_측면,S_1R,S_2R,S_3R,D_정면,D_측면,D_1R,D_2R,D_3R,S_정면,S_측면,S_1R,S_2R,S_3R
CH No.,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26,CH17,CH18,CH19,CH20,CH21,CH22,CH23,CH24,CH25,CH26
179,2.9,4.0,2.5,4.8,3.1,0.9,2.0,2.3,2.8,1.4,32,32,47,32,32,120,32,32,32,120
180,2.7,4.0,2.5,5.2,3.3,0.9,2.3,2.4,2.8,1.4,32,32,47,32,32,120,32,32,32,120
181,2.7,3.7,2.7,5.0,3.5,1.1,2.1,2.2,2.7,1.5,32,32,47,32,32,120,32,32,32,120
182,2.8,3.8,2.5,4.8,3.3,0.9,2.1,2.2,2.9,1.5,32,32,47,32,32,120,32,32,32,120
183,2.9,4.2,2.5,5.4,3.7,0.9,2.2,2.3,2.8,1.4,32,32,47,32,32,120,32,16,32,120
184,2.9,4.1,2.3,5.0,3.4,0.9,2.2,2.4,2.7,1.7,32,32,47,32,32,120,32,32,32,120
185,3.0,4.4,2.5,5.3,3.7,0.9,2.3,2.5,2.8,1.4,32,32,47,32,32,120,32,32,32,120
186,3.0,3.9,2.2,5.0,3.7,1.0,2.0,2.5,2.7,1.5,32,32,47,32,32,360,32,32,32,120
187,3.0,4.2,2.2,5.4,3.6,0.9,2.2,2.2,2.9,1.3,32,32,47,32,32,360,32,32,32,120
188,3.0,3.9,2.6,5.1,3.2,1.0,2.3,2.3,2.9,1.6,32,32,47,32,32,360,32,32,32,120
189,2.9,4.1,2.3,5.3,3.5,1.0,2.7,2.9,2.9,1.4,32,32,47,32,32,120,32,32,32,120
190,2.9,3.8,2.6,5.3,3.6,0.9,2.2,2.4,2.8,1.5,32,32,47,32,32,120,32,32,32,120
191,3.0,4.1,2.3,5.1,3.2,1.0,2.2,2.4,3.1,1.6,32,32,47,32,32,120,32,32,32,120
192,2.9,4.0,2.5,5.1,3.6,0.9,2.2,2.4,2.7,1.4,32,32,47,32,32,120,32,32,32,120
193,3.1,4.1,2.6,5.4,3.6,0.9,2.5,2.5,3.0,1.3,32,32,47,32,32,120,32,32,32,120
194,2.9,3.8,2.7,5.1,3.5,1.0,2.1,2.6,2.7,1.7,32,32,47,32,32,360,32,32,32,120
195,3.1,4.1,2.4,5.0,3.3,1.0,2.3,2.3,3.0,1.5,32,32,47,32,32,360,32,32,32,120
196,2.9,4.3,2.6,5.2,3.7,1.0,2.5,2.5,2.9,1.6,32,32,47,32,32,360,32,16,32,120
197,3.0,4.0,2.6,5.1,3.3,1.0,2.0,2.1,2.6,1.6,32,32,47,32,32,360,32,32,32,32
198,3.1,4.2,2.5,5.4,3.5,1.0,2.5,2.7,2.9,1.4,32,32,47,32,32,360,32,32,32,32
199,2.9,3.7,2.4,5.5,3.5,0.9,2.1,2.4,2.7,1.7,32,32,47,32,32,120,32,32,32,32
200,3.1,4.0,2.3,5.1,3.4,1.0,2.2,2.4,2.8,1.4,32,32,47,32,32,120,32,32,32,32
201,3.0,4.0,2.3,5.3,3.5,0.9,2.1,2.3,2.7,1.3,32,32,47,32,32,360,32,32,32,120
202,3.0,4.1,2.2,4.9,3.7,0.9,2.2,2.4,2.7,1.5,32,32,47,32,32,360,32,32,32,32
203,2.9,3.9,2.6,5.3,3.6,0.9,2.4,2.5,2.7,1.5,32,32,47,32,32,360,32,32,32,32
204,2.9,4.0,2.3,5.0,3.2,0.9,2.2,2.3,3.0,1.6,32,32,47,32,32,360,32,32,32,32
205,2.9,4.1,2.6,5.3,3.6,0.9,2.3,2.5,2.9,1.5,32,32,47,32,32,360,32,32,32,32
206,2.9,3.9,2.4,5.0,3.3,1.1,2.2,2.5,2.7,1.6,32,32,47,32,32,360,32,32,32,32
