CH Name,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R,Dis AD 전(하단),Dis AD 후(상단),Dis 8R,Dis AD 좌(상단),Dis 1R,Dis 2R,VI 8R,Suc AD 후 상,Suc  AD 우 중,Suc  AD 전 하,DIS 전 중,Suc  AD 전 중,Suc  1R,Suc  3R,압력센서 하,저압 SV 용접부,VI 용접부,VI 7R,압력센서 상,Suc  2R
CH No.,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32,CH02,CH04,CH06,CH07,CH09,CH11,CH14,CH16,CH17,CH18,CH19,CH20,CH21,CH22,CH24,CH25,CH26,CH27,CH29,CH32
70,3.1,5.1,2.7,0.6,1.6,2.8,3.1,2.1,1.6,3.3,2,1.1,2.7,3,0.4,0.9,3.2,3,1.7,4.6,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
71,3.1,5.1,2.7,0.6,1.8,2.7,3.1,2.1,1.8,3.2,1.9,1,2.7,3.1,0.4,1,3.1,2.9,1.8,4.4,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
72,3.1,5.1,2.7,0.6,1.6,2.6,3.3,2.1,1.7,2.5,1.8,1.1,2.6,3,0.4,0.9,3.1,2.9,1.7,4.3,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
73,3.1,5.1,2.6,0.7,1.6,2.6,3.1,3.7,1.7,2.9,1.8,1.1,2.5,3.1,0.4,1,3,2.7,1.7,4.1,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
74,3.1,5.1,2.7,0.6,1.6,2.7,3.2,1.9,1.9,2.8,1.9,1.1,2.6,3.1,0.4,0.9,3.1,3.1,1.8,4,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
75,3.1,5.1,2.8,0.6,1.6,2.6,3.1,1.9,1.8,2.5,1.8,1.1,2.7,3.1,0.4,1,3,2.7,1.8,3.8,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
76,3.1,5,2.6,0.6,1.5,2.4,3.1,1.9,1.7,2.8,1.8,1,2.5,3.1,0.4,1,3,2.3,1.7,3.8,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
77,3.1,5.1,2.7,0.6,1.5,2.4,3,2.1,1.7,2.8,1.7,1.1,2.5,3.1,0.4,0.8,2.9,2.4,1.8,3.5,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
78,3.1,5,2.7,0.6,1.7,2.5,3.1,1.9,1.5,2.6,1.7,1.1,2.5,3,0.4,1,3,2.6,1.9,3.6,105,105,105,105,105,105,210,105,105,105,105,105,105,105,420,105,210,210,105,105
79,3.2,5.1,2.9,0.6,1.6,2.6,3.2,2.1,1.8,2.6,1.8,1.1,2.5,3,0.4,0.9,3.1,2.7,1.8,3.8,105,105,105,105,105,105,105,105,105,105,105,105,105,105,420,105,210,210,105,105
80,3.6,6.3,3.6,0.7,1.6,2.3,3,2.4,1.8,2.5,1.7,1,2.4,3.2,0.5,0.9,2.5,3,1.8,3.6,108,108,108,108,108,108,108,108,108,108,108,108,108,108,218,108,215,215,108,108
81,3.7,6.4,3.5,0.8,1.8,2.2,3,1.9,1.9,2.4,1.6,1,2.6,3.1,0.5,1,1.9,2.8,1.8,3.5,111,111,111,111,111,112,111,112,111,111,112,111,111,111,223,111,223,223,111,111
82,3.6,5.8,2.9,0.6,1.9,3,3.7,2.2,1.6,3,2.1,1.2,3,3.7,0.4,0.9,3.1,3.3,1.9,5.1,101,101,101,101,101,101,202,101,101,101,101,101,101,101,404,101,202,202,101,101
83,1.6,2.5,1.3,0.3,1.2,2,2.8,1.7,1.2,2,1.3,0.8,1.6,2.1,0.3,0.8,2.2,2.8,1.3,2.9,101,101,101,101,101,101,202,101,101,101,101,101,101,101,404,101,202,202,101,101
84,1.6,2.5,1.4,0.3,1.2,1.8,2.9,1.7,1.3,2.3,1.3,0.9,1.6,2,0.3,0.7,2.3,3,1.2,2.9,101,101,101,101,101,101,202,101,101,101,101,101,101,101,404,101,202,202,101,101
85,1.6,2.6,1.5,0.3,1.2,1.8,3,1.7,1.2,2.2,1.3,0.7,1.5,2.1,0.3,0.8,2.3,3.2,1.3,3.1,101,101,101,101,101,101,202,101,101,101,101,101,101,101,404,101,202,202,101,101
86,1.6,2.5,1.4,0.3,1.2,1.8,2.8,1.7,1.2,2.2,1.3,0.8,1.7,2.2,0.3,0.7,2.3,3.2,1.3,2.8,101,101,101,101,101,101,202,101,101,101,101,101,101,101,404,101,202,202,101,101
87,1.6,2.4,1.3,0.3,1.2,1.7,2.9,1.5,1.3,2,1.2,0.8,1.7,2.1,0.3,0.7,2.2,3.2,1.2,2.7,101,101,101,101,101,101,202,101,101,101,101,101,101,101,404,101,202,202,101,101
88,1.5,2.4,1.3,0.3,1.2,1.7,2.8,1.5,1.2,2.3,1.2,0.8,1.5,2.1,0.3,0.7,2.2,2.9,1.2,2.7,101,101,101,101,101,101,202,101,101,101,101,101,101,101,404,101,202,202,101,101
89,1.6,2.3,1.5,0.3,1.3,1.9,2.9,1.6,1.1,2.1,1.3,0.8,1.6,2,0.3,0.6,2.1,3,1.2,2.6,101,101,101,101,101,101,202,101,101,101,101,101,101,101,404,101,202,202,101,101
90,1.6,2.3,1.3,0.3,1.2,1.8,2.9,1.6,1.2,2.2,1.3,0.7,1.5,2.2,0.3,0.8,2.2,3,1.3,2.7,101,101,101,101,101,101,202,101,101,101,101,101,101,101,404,101,202,202,101,101
91,1.6,2.4,1.3,0.3,1.3,1.8,2.8,1.6,1.3,2.1,1.2,0.7,1.6,2.2,0.3,0.7,2.2,3.1,1.3,2.8,101,101,101,101,101,101,202,101,101,101,101,101,101,101,404,101,202,202,101,101
92,1.6,2.4,1.3,0.3,1.3,1.7,2.9,1.6,1.2,2,1.2,0.8,1.6,2.2,0.3,0.9,2.2,3.1,1.2,2.7,101,101,101,101,101,101,202,101,101,101,101,101,101,101,404,101,202,202,101,101
93,1.5,2.5,1.4,0.3,1.3,1.8,2.9,1.6,1.4,2.3,1.3,0.8,1.6,2.1,0.4,0.7,2.1,2.9,1.2,2.8,101,101,101,101,101,101,202,101,101,101,101,101,101,101,404,101,202,202,101,101
94,2.3,3.2,1.6,0.4,1.6,2.5,4.2,2.2,1.3,2.6,1.7,1,2.3,3,0.3,0.8,2.3,3.9,1.8,4.2,101,101,101,101,101,101,202,101,101,101,101,101,101,101,404,101,202,202,101,101
95,2.5,4.7,2.3,0.6,3.2,4.9,6,4,2.4,5,2.9,1.8,3.9,5.7,0.6,1.5,2.7,6.2,3.7,8.6,91,91,91,91,91,91,91,91,91,91,91,91,91,91,273,91,91,91,91,91
96,2.1,4.7,2.4,0.4,3.1,5,6.1,4,2.3,5.3,3,1.8,3.6,5.6,0.6,1.6,2.1,6.9,3.5,9,91,91,91,91,91,91,91,91,91,91,91,91,91,91,273,91,91,91,91,91
