CH Name,D_정면,D_측면,D_2R,D_5R,D_6R,D_manifold,S_정면,S_측면,S_2R,S_5R,S_7R,S_8R,D_정면,D_측면,D_2R,D_5R,D_6R,D_manifold,S_정면,S_측면,S_2R,S_5R,S_7R,S_8R
CH No.,CH17,CH18,CH19,CH20,CH21,CH25,CH26,CH27,CH28,CH29,CH30,CH31,CH17,CH18,CH19,CH20,CH21,CH25,CH26,CH27,CH28,CH29,CH30,CH31
162,1.3,2.2,1.3,1.2,0.7,0.7,1.1,1.6,1.7,0.7,0.8,1.7,97,193,48,48,48,120,120,120,48,120,48,48
163,1.3,2.4,1.1,1.1,0.7,0.7,1.2,1.8,1.5,0.7,0.8,1.5,98,197,49,49,98,120,120,120,49,120,49,49
164,1.3,2.4,1.1,1.1,0.7,0.7,1.1,1.5,1.4,0.7,0.7,1.5,99,197,49,49,99,120,120,120,49,120,49,49
165,1.2,2.6,1.1,1.2,0.7,0.7,1.1,1.6,1.6,0.7,0.8,1.5,99,197,49,49,99,120,120,120,49,120,49,49
166,1.2,2.5,1.2,1.1,0.6,0.8,1.2,1.7,1.4,0.7,0.8,1.6,99,197,49,99,99,120,120,120,49,120,49,49
167,1.3,2.4,1.3,1.1,0.7,0.7,1.1,1.7,1.6,0.7,0.7,1.5,99,197,49,49,99,120,120,120,49,120,49,49
168,1.3,2.5,1.2,1.1,0.6,0.7,1,1.6,1.5,0.8,0.8,1.5,99,197,49,49,99,120,120,120,49,120,49,49
169,1.3,2.5,1.2,1.2,0.7,0.7,1.1,1.6,1.6,0.7,0.8,1.5,99,197,49,49,99,120,120,120,49,120,49,49
170,1.3,2.4,1.3,1.2,0.7,0.7,1.2,1.5,1.5,0.8,0.8,1.6,99,197,49,49,99,120,120,120,49,120,49,49
171,1.2,2.5,1.2,1.1,0.6,0.7,1,1.7,1.5,0.7,0.8,1.5,99,197,49,49,99,120,120,120,49,120,49,49
172,1.3,2.5,1.2,1.2,0.6,0.9,1.2,1.6,1.5,0.7,0.7,1.4,99,197,49,49,99,120,120,120,49,120,49,49
173,1.3,2.5,1.2,1.2,0.7,0.7,1.1,1.6,1.6,0.8,0.7,1.6,99,197,49,49,99,120,120,120,49,120,49,49
